case_id,method,expected_classification,actual_classification,observation
torch_environment_marker,inspect_environment,pass,pass,"{""python_version"":""3.12.3"",""torch_available"":false,""torch_version"":null,""torch_import_error"":""ModuleNotFoundError: No module named 'torch'""}"
torch_environment_marker,exercise_serialization,not_applicable,not_applicable,"{""note"":""environment marker, no serialization exercise""}"
torch_environment_marker,verify_roundtrip,not_applicable,not_applicable,"{""note"":""environment marker""}"
torch_environment_marker,security_context_observation,local_observation,local_observation,"{""torch_available"":false,""note"":""PyTorch not installed; torch-dependent cases framework_skip""}"
plain_tensor_weights_only_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
plain_tensor_weights_only_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
plain_tensor_weights_only_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
plain_tensor_weights_only_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
primitive_checkpoint_weights_only_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
primitive_checkpoint_weights_only_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
primitive_checkpoint_weights_only_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
primitive_checkpoint_weights_only_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
state_dict_roundtrip_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
state_dict_roundtrip_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
state_dict_roundtrip_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
state_dict_roundtrip_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
model_reconstruction_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
model_reconstruction_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
model_reconstruction_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
model_reconstruction_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
benign_custom_object_rejection_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
benign_custom_object_rejection_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
benign_custom_object_rejection_marker,verify_roundtrip,expected_error,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
benign_custom_object_rejection_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
trusted_custom_object_explicit_load_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
trusted_custom_object_explicit_load_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
trusted_custom_object_explicit_load_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
trusted_custom_object_explicit_load_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
malformed_checkpoint_rejection_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
malformed_checkpoint_rejection_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
malformed_checkpoint_rejection_marker,verify_roundtrip,expected_error,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
malformed_checkpoint_rejection_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
cpu_map_location_marker,inspect_environment,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
cpu_map_location_marker,exercise_serialization,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
cpu_map_location_marker,verify_roundtrip,pass,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
cpu_map_location_marker,security_context_observation,local_observation,framework_skip,"{""reason"":""PyTorch not available"",""torch_available"":false}"
no_global_serialization_or_ml_validity_claim_marker,inspect_environment,context_only,context_only,"{""disclaimer_count"":14,""disclaimers"":[""every pytorch checkpoint is safe"",""weights_only=true accepts every state dictionary"",""restricted loading is a complete sandbox"",""an exception identifies every unsafe global"",""weights_only=false is safe for untrusted files"",""a zip container prevents pickle behavior"",""state_dict contains model architecture"",""matching tensors prove model correctness"",""matching outputs prove model quality"",""a local checkpoint has authentic provenance"",""a checksum or signature was verified"",""safetensors or onnx was evaluated"",""a production deployment was secured"",""security-certified or production-ready""],""method"":""inspect_environment"",""note"":""README/RESULTS must disclaim global safety/quality/architecture/provenance claims - see repository documentation""}"
no_global_serialization_or_ml_validity_claim_marker,exercise_serialization,context_only,context_only,"{""disclaimer_count"":14,""disclaimers"":[""every pytorch checkpoint is safe"",""weights_only=true accepts every state dictionary"",""restricted loading is a complete sandbox"",""an exception identifies every unsafe global"",""weights_only=false is safe for untrusted files"",""a zip container prevents pickle behavior"",""state_dict contains model architecture"",""matching tensors prove model correctness"",""matching outputs prove model quality"",""a local checkpoint has authentic provenance"",""a checksum or signature was verified"",""safetensors or onnx was evaluated"",""a production deployment was secured"",""security-certified or production-ready""],""method"":""exercise_serialization"",""note"":""README/RESULTS must disclaim global safety/quality/architecture/provenance claims - see repository documentation""}"
no_global_serialization_or_ml_validity_claim_marker,verify_roundtrip,context_only,context_only,"{""disclaimer_count"":14,""disclaimers"":[""every pytorch checkpoint is safe"",""weights_only=true accepts every state dictionary"",""restricted loading is a complete sandbox"",""an exception identifies every unsafe global"",""weights_only=false is safe for untrusted files"",""a zip container prevents pickle behavior"",""state_dict contains model architecture"",""matching tensors prove model correctness"",""matching outputs prove model quality"",""a local checkpoint has authentic provenance"",""a checksum or signature was verified"",""safetensors or onnx was evaluated"",""a production deployment was secured"",""security-certified or production-ready""],""method"":""verify_roundtrip"",""note"":""README/RESULTS must disclaim global safety/quality/architecture/provenance claims - see repository documentation""}"
no_global_serialization_or_ml_validity_claim_marker,security_context_observation,context_only,context_only,"{""disclaimer_count"":14,""disclaimers"":[""every pytorch checkpoint is safe"",""weights_only=true accepts every state dictionary"",""restricted loading is a complete sandbox"",""an exception identifies every unsafe global"",""weights_only=false is safe for untrusted files"",""a zip container prevents pickle behavior"",""state_dict contains model architecture"",""matching tensors prove model correctness"",""matching outputs prove model quality"",""a local checkpoint has authentic provenance"",""a checksum or signature was verified"",""safetensors or onnx was evaluated"",""a production deployment was secured"",""security-certified or production-ready""],""method"":""security_context_observation"",""note"":""README/RESULTS must disclaim global safety/quality/architecture/provenance claims - see repository documentation""}"
